#1 : frequency[Hz] = 1.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    0    0   1.000e-01  -1.500e-01   0.000e+00  8.087e-02  7.789e-02 -177.036  3.107e-04   -7.841  2.176e-02  -69.732
    0    1   1.000e-01  -1.500e-01   1.000e-02  1.930e-01  1.921e-01  114.260  3.685e-04   30.871  1.837e-02  -13.989
    0    2   1.000e-01  -1.500e-01   2.000e-02  2.956e-01  2.942e-01  110.308  4.106e-04   66.847  2.835e-02   29.833
    0    3   1.000e-01  -1.500e-01   3.000e-02  2.814e-01  2.787e-01  118.470  4.456e-04  104.928  3.909e-02   55.193
    0    4   1.000e-01  -1.500e-01   4.000e-02  1.711e-01  1.665e-01  149.899  5.027e-04  143.924  3.939e-02   75.442
    0    5   1.000e-01  -1.500e-01   5.000e-02  1.889e-01  1.871e-01 -127.442  5.831e-04 -179.631  2.543e-02  109.232
    0    6   1.000e-01  -1.500e-01   6.000e-02  3.613e-01  3.603e-01  -94.949  6.570e-04 -145.620  2.679e-02 -158.109
    0    7   1.000e-01  -1.500e-01   7.000e-02  4.703e-01  4.661e-01  -79.134  7.072e-04 -111.401  6.260e-02 -120.983
    0    8   1.000e-01  -1.500e-01   8.000e-02  4.601e-01  4.504e-01  -62.244  7.496e-04  -75.234  9.391e-02 -106.844
    0    9   1.000e-01  -1.500e-01   9.000e-02  3.655e-01  3.509e-01  -34.292  8.126e-04  -37.734  1.022e-01  -97.090
    0   10   1.000e-01  -1.500e-01   1.000e-01  3.138e-01  3.038e-01   13.242  9.010e-04   -0.955  7.866e-02  -87.502
    0   11   1.000e-01  -1.500e-01   1.100e-01  3.720e-01  3.711e-01   53.626  9.951e-04   34.493  2.661e-02  -66.196
    0   12   1.000e-01  -1.500e-01   1.200e-01  4.121e-01  4.096e-01   77.522  1.074e-03   69.659  4.545e-02   88.032
    0   13   1.000e-01  -1.500e-01   1.300e-01  3.548e-01  3.373e-01   98.103  1.145e-03  106.268  1.102e-01  103.466
    0   14   1.000e-01  -1.500e-01   1.400e-01  2.414e-01  1.870e-01  135.022  1.245e-03  144.626  1.526e-01  115.134
    0   15   1.000e-01  -1.500e-01   1.500e-01  2.377e-01  1.731e-01 -137.649  1.416e-03 -176.823  1.629e-01  129.656
    0   16   1.000e-01  -1.500e-01   1.600e-01  3.371e-01  3.031e-01  -96.441  1.674e-03 -140.267  1.475e-01  151.393
    0   17   1.000e-01  -1.500e-01   1.700e-01  3.762e-01  3.525e-01  -71.882  2.002e-03 -106.478  1.315e-01 -175.484
    0   18   1.000e-01  -1.500e-01   1.800e-01  3.367e-01  3.057e-01  -39.237  2.380e-03  -75.162  1.411e-01 -138.716
    0   19   1.000e-01  -1.500e-01   1.900e-01  3.346e-01  2.909e-01   14.739  2.776e-03  -46.594  1.652e-01 -111.276
    0   20   1.000e-01  -1.500e-01   2.000e-01  4.526e-01  4.160e-01   60.196  3.144e-03  -21.085  1.783e-01  -91.552
    0   21   1.000e-01  -1.500e-01   2.100e-01  5.739e-01  5.478e-01   87.409  3.393e-03    0.586  1.709e-01  -74.574
    0   22   1.000e-01  -1.500e-01   2.200e-01  6.049e-01  5.865e-01  110.557  3.362e-03   17.316  1.480e-01  -57.317
    0   23   1.000e-01  -1.500e-01   2.300e-01  5.464e-01  5.330e-01  138.414  2.859e-03   27.664  1.204e-01  -38.863
    0   24   1.000e-01  -1.500e-01   2.400e-01  4.856e-01  4.762e-01  176.434  1.764e-03   30.276  9.516e-02  -21.191
    0   25   1.000e-01  -1.500e-01   2.500e-01  5.038e-01  4.987e-01 -142.761  3.428e-04  -12.862  7.197e-02   -8.531
    0   26   1.000e-01  -1.500e-01   2.600e-01  5.464e-01  5.442e-01 -110.037  1.432e-03 -135.318  4.868e-02   -5.253
    0   27   1.000e-01  -1.500e-01   2.700e-01  5.257e-01  5.250e-01  -81.238  2.767e-03 -151.172  2.734e-02  -18.575
    0   28   1.000e-01  -1.500e-01   2.800e-01  4.495e-01  4.419e-01  -47.534  3.641e-03 -169.842  8.212e-02  -97.138
    0   29   1.000e-01  -1.500e-01   2.900e-01  4.390e-01  4.104e-01   -2.553  3.336e-03 -127.165  1.559e-01 -107.522
    0   30   1.000e-01  -1.500e-01   3.000e-01  5.965e-01  5.744e-01   29.341  3.811e-03 -105.322  1.606e-01 -115.742
    1    0   1.000e-01  -1.400e-01   0.000e+00  8.171e-02  7.879e-02 -177.049  3.631e-04   22.055  2.165e-02  -69.343
    1    1   1.000e-01  -1.400e-01   1.000e-02  1.928e-01  1.919e-01  114.566  4.321e-04   60.447  1.832e-02  -13.524
    1    2   1.000e-01  -1.400e-01   2.000e-02  2.947e-01  2.934e-01  110.454  4.817e-04   96.218  2.832e-02   30.166
    1    3   1.000e-01  -1.400e-01   3.000e-02  2.803e-01  2.776e-01  118.528  5.200e-04  133.902  3.902e-02   55.441
    1    4   1.000e-01  -1.400e-01   4.000e-02  1.698e-01  1.652e-01  149.949  5.822e-04  172.840  3.926e-02   75.666
    1    5   1.000e-01  -1.400e-01   5.000e-02  1.880e-01  1.863e-01 -127.101  6.723e-04 -150.470  2.528e-02  109.593
    1    6   1.000e-01  -1.400e-01   6.000e-02  3.603e-01  3.593e-01  -94.757  7.588e-04 -116.169  2.685e-02 -157.592
    1    7   1.000e-01  -1.400e-01   7.000e-02  4.688e-01  4.646e-01  -79.028  8.202e-04  -82.170  6.267e-02 -120.730
    1    8   1.000e-01  -1.400e-01   8.000e-02  4.583e-01  4.486e-01  -62.202  8.712e-04  -46.446  9.390e-02 -106.648
    1    9   1.000e-01  -1.400e-01   9.000e-02  3.635e-01  3.488e-01  -34.287  9.389e-04   -9.469  1.021e-01  -96.910
    1   10   1.000e-01  -1.400e-01   1.000e-01  3.115e-01  3.015e-01   13.337  1.034e-03   26.945  7.838e-02  -87.317
    1   11   1.000e-01  -1.400e-01   1.100e-01  3.694e-01  3.685e-01   53.754  1.133e-03   62.159  2.625e-02  -65.761
    1   12   1.000e-01  -1.400e-01   1.200e-01  4.091e-01  4.065e-01   77.574  1.213e-03   97.241  4.585e-02   88.328
    1   13   1.000e-01  -1.400e-01   1.300e-01  3.516e-01  3.337e-01   98.023  1.281e-03  133.650  1.106e-01  103.671
    1   14   1.000e-01  -1.400e-01   1.400e-01  2.384e-01  1.829e-01  134.910  1.370e-03  171.730  1.529e-01  115.348
    1   15   1.000e-01  -1.400e-01   1.500e-01  2.355e-01  1.700e-01 -136.425  1.521e-03 -149.614  1.630e-01  129.906
    1   16   1.000e-01  -1.400e-01   1.600e-01  3.344e-01  3.002e-01  -95.528  1.749e-03 -112.105  1.475e-01  151.720
    1   17   1.000e-01  -1.400e-01   1.700e-01  3.725e-01  3.485e-01  -71.031  2.044e-03  -76.619  1.316e-01 -175.049
    1   18   1.000e-01  -1.400e-01   1.800e-01  3.329e-01  3.014e-01  -38.046  2.382e-03  -43.324  1.415e-01 -138.241
    1   19   1.000e-01  -1.400e-01   1.900e-01  3.338e-01  2.897e-01   16.474  2.738e-03  -12.033  1.659e-01 -110.791
    1   20   1.000e-01  -1.400e-01   2.000e-01  4.549e-01  4.181e-01   61.574  3.075e-03   17.132  1.792e-01  -90.999
    1   21   1.000e-01  -1.400e-01   2.100e-01  5.775e-01  5.512e-01   88.579  3.315e-03   43.508  1.722e-01  -73.878
    1   22   1.000e-01  -1.400e-01   2.200e-01  6.101e-01  5.914e-01  111.734  3.299e-03   65.814  1.500e-01  -56.413
    1   23   1.000e-01  -1.400e-01   2.300e-01  5.554e-01  5.416e-01  139.598  2.761e-03   81.528  1.234e-01  -37.792
    1   24   1.000e-01  -1.400e-01   2.400e-01  4.999e-01  4.900e-01  177.007  1.511e-03   80.862  9.909e-02  -20.161
    1   25   1.000e-01  -1.400e-01   2.500e-01  5.181e-01  5.125e-01 -143.465  6.061e-04  -14.008  7.613e-02   -7.639
    1   26   1.000e-01  -1.400e-01   2.600e-01  5.534e-01  5.509e-01 -111.561  1.864e-03  -72.650  5.224e-02   -4.071
    1   27   1.000e-01  -1.400e-01   2.700e-01  5.219e-01  5.210e-01  -83.064  3.191e-03  -96.286  2.960e-02  -15.334
    1   28   1.000e-01  -1.400e-01   2.800e-01  4.357e-01  4.279e-01  -48.898  4.130e-03 -113.720  8.183e-02  -95.321
    1   29   1.000e-01  -1.400e-01   2.900e-01  4.269e-01  3.974e-01   -2.642  3.877e-03 -100.840  1.558e-01 -106.448
    1   30   1.000e-01  -1.400e-01   3.000e-01  5.872e-01  5.650e-01   29.617  3.733e-03  -90.394  1.600e-01 -114.971
    2    0   1.000e-01  -1.300e-01   0.000e+00  8.268e-02  7.985e-02 -176.709  4.734e-04   39.193  2.144e-02  -69.052
    2    1   1.000e-01  -1.300e-01   1.000e-02  1.920e-01  1.911e-01  114.894  5.634e-04   77.257  1.818e-02  -13.060
    2    2   1.000e-01  -1.300e-01   2.000e-02  2.934e-01  2.920e-01  110.539  6.261e-04  112.729  2.818e-02   30.519
    2    3   1.000e-01  -1.300e-01   3.000e-02  2.788e-01  2.761e-01  118.471  6.709e-04  150.280  3.883e-02   55.676
    2    4   1.000e-01  -1.300e-01   4.000e-02  1.683e-01  1.637e-01  149.775  7.462e-04 -170.572  3.902e-02   75.833
    2    5   1.000e-01  -1.300e-01   5.000e-02  1.864e-01  1.847e-01 -126.838  8.605e-04 -133.592  2.503e-02  109.847
    2    6   1.000e-01  -1.300e-01   6.000e-02  3.584e-01  3.574e-01  -94.619  9.741e-04  -99.150  2.679e-02 -156.935
    2    7   1.000e-01  -1.300e-01   7.000e-02  4.666e-01  4.624e-01  -79.000  1.055e-03  -65.318  6.262e-02 -120.406
    2    8   1.000e-01  -1.300e-01   8.000e-02  4.560e-01  4.462e-01  -62.276  1.120e-03  -29.985  9.372e-02 -106.427
    2    9   1.000e-01  -1.300e-01   9.000e-02  3.610e-01  3.464e-01  -34.461  1.197e-03    6.651  1.017e-01  -96.747
    2   10   1.000e-01  -1.300e-01   1.000e-01  3.085e-01  2.985e-01   13.218  1.304e-03   43.028  7.795e-02  -87.210
    2   11   1.000e-01  -1.300e-01   1.100e-01  3.659e-01  3.650e-01   53.694  1.415e-03   78.436  2.576e-02  -65.653
    2   12   1.000e-01  -1.300e-01   1.200e-01  4.054e-01  4.028e-01   77.408  1.505e-03  113.686  4.617e-02   88.890
    2   13   1.000e-01  -1.300e-01   1.300e-01  3.481e-01  3.300e-01   97.620  1.572e-03  150.157  1.107e-01  103.983
    2   14   1.000e-01  -1.300e-01   1.400e-01  2.351e-01  1.786e-01  134.111  1.653e-03 -171.484  1.529e-01  115.619
    2   15   1.000e-01  -1.300e-01   1.500e-01  2.316e-01  1.647e-01 -135.551  1.796e-03 -131.866  1.628e-01  130.181
    2   16   1.000e-01  -1.300e-01   1.600e-01  3.292e-01  2.945e-01  -94.795  2.034e-03  -92.596  1.471e-01  152.046
    2   17   1.000e-01  -1.300e-01   1.700e-01  3.658e-01  3.415e-01  -70.436  2.371e-03  -54.825  1.312e-01 -174.607
    2   18   1.000e-01  -1.300e-01   1.800e-01  3.257e-01  2.934e-01  -37.183  2.793e-03  -18.909  1.412e-01 -137.718
    2   19   1.000e-01  -1.300e-01   1.900e-01  3.285e-01  2.837e-01   18.195  3.296e-03   15.307  1.656e-01 -110.233
    2   20   1.000e-01  -1.300e-01   2.000e-01  4.514e-01  4.145e-01   63.172  3.883e-03   47.741  1.788e-01  -90.356
    2   21   1.000e-01  -1.300e-01   2.100e-01  5.740e-01  5.477e-01   89.990  4.524e-03   77.586  1.717e-01  -73.030
    2   22   1.000e-01  -1.300e-01   2.200e-01  6.069e-01  5.881e-01  113.228  5.026e-03  103.413  1.498e-01  -55.158
    2   23   1.000e-01  -1.300e-01   2.300e-01  5.562e-01  5.421e-01  141.407  4.752e-03  123.137  1.243e-01  -35.915
    2   24   1.000e-01  -1.300e-01   2.400e-01  5.099e-01  4.997e-01  178.751  2.352e-03  129.375  1.016e-01  -17.702
    2   25   1.000e-01  -1.300e-01   2.500e-01  5.359e-01  5.300e-01 -142.934  1.129e-03  -17.127  7.930e-02   -4.736
    2   26   1.000e-01  -1.300e-01   2.600e-01  5.695e-01  5.669e-01 -112.401  3.704e-03  -39.094  5.477e-02   -0.553
    2   27   1.000e-01  -1.300e-01   2.700e-01  5.290e-01  5.281e-01  -84.982  5.296e-03  -63.118  3.067e-02  -10.525
    2   28   1.000e-01  -1.300e-01   2.800e-01  4.286e-01  4.210e-01  -51.301  6.542e-03  -81.824  8.007e-02  -94.159
    2   29   1.000e-01  -1.300e-01   2.900e-01  4.146e-01  3.849e-01   -3.404  4.936e-03  -80.699  1.540e-01 -105.755
    2   30   1.000e-01  -1.300e-01   3.000e-01  5.777e-01  5.555e-01   29.688  3.843e-03  -75.562  1.586e-01 -114.382
    3    0   1.000e-01  -1.200e-01   0.000e+00  8.378e-02  8.107e-02 -176.078  5.888e-04   46.266  2.113e-02  -68.846
    3    1   1.000e-01  -1.200e-01   1.000e-02  1.907e-01  1.898e-01  115.249  7.001e-04   84.087  1.796e-02  -12.587
    3    2   1.000e-01  -1.200e-01   2.000e-02  2.915e-01  2.902e-01  110.573  7.757e-04  119.313  2.795e-02   30.898
    3    3   1.000e-01  -1.200e-01   3.000e-02  2.770e-01  2.743e-01  118.315  8.248e-04  156.684  3.855e-02   55.908
    3    4   1.000e-01  -1.200e-01   4.000e-02  1.665e-01  1.619e-01  149.404  9.090e-04 -163.966  3.870e-02   75.962
    3    5   1.000e-01  -1.200e-01   5.000e-02  1.841e-01  1.824e-01 -126.634  1.045e-03 -126.556  2.468e-02  110.029
    3    6   1.000e-01  -1.200e-01   6.000e-02  3.559e-01  3.549e-01  -94.521  1.186e-03  -91.846  2.666e-02 -156.153
    3    7   1.000e-01  -1.200e-01   7.000e-02  4.638e-01  4.595e-01  -79.036  1.289e-03  -58.139  6.247e-02 -120.025
    3    8   1.000e-01  -1.200e-01   8.000e-02  4.532e-01  4.434e-01  -62.445  1.366e-03  -23.217  9.342e-02 -106.188
    3    9   1.000e-01  -1.200e-01   9.000e-02  3.582e-01  3.436e-01  -34.781  1.448e-03   13.045  1.013e-01  -96.595
    3   10   1.000e-01  -1.200e-01   1.000e-01  3.049e-01  2.950e-01   12.926  1.558e-03   49.351  7.739e-02  -87.158
    3   11   1.000e-01  -1.200e-01   1.100e-01  3.618e-01  3.609e-01   53.486  1.672e-03   84.953  2.518e-02  -65.796
    3   12   1.000e-01  -1.200e-01   1.200e-01  4.013e-01  3.986e-01   77.073  1.763e-03  120.444  4.643e-02   89.622
    3   13   1.000e-01  -1.200e-01   1.300e-01  3.444e-01  3.261e-01   96.962  1.823e-03  157.052  1.108e-01  104.358
    3   14   1.000e-01  -1.200e-01   1.400e-01  2.315e-01  1.741e-01  132.749  1.884e-03 -164.303  1.526e-01  115.913
    3   15   1.000e-01  -1.200e-01   1.500e-01  2.264e-01  1.579e-01 -134.948  2.000e-03 -123.639  1.623e-01  130.446
    3   16   1.000e-01  -1.200e-01   1.600e-01  3.221e-01  2.870e-01  -94.217  2.229e-03  -82.327  1.463e-01  152.327
    3   17   1.000e-01  -1.200e-01   1.700e-01  3.570e-01  3.324e-01  -70.081  2.608e-03  -41.915  1.303e-01 -174.242
    3   18   1.000e-01  -1.200e-01   1.800e-01  3.159e-01  2.830e-01  -36.657  3.143e-03   -3.340  1.402e-01 -137.271
    3   19   1.000e-01  -1.200e-01   1.900e-01  3.195e-01  2.740e-01   19.806  3.859e-03   33.444  1.643e-01 -109.766
    3   20   1.000e-01  -1.200e-01   2.000e-01  4.429e-01  4.060e-01   64.832  4.844e-03   68.408  1.769e-01  -89.855
    3   21   1.000e-01  -1.200e-01   2.100e-01  5.636e-01  5.377e-01   91.466  6.240e-03  100.612  1.690e-01  -72.390
    3   22   1.000e-01  -1.200e-01   2.200e-01  5.950e-01  5.767e-01  114.842  8.122e-03  128.147  1.465e-01  -54.067
    3   23   1.000e-01  -1.200e-01   2.300e-01  5.474e-01  5.335e-01  143.643  9.687e-03  148.645  1.221e-01  -33.744
    3   24   1.000e-01  -1.200e-01   2.400e-01  5.135e-01  5.033e-01 -178.469  4.414e-03  161.394  1.017e-01  -14.244
    3   25   1.000e-01  -1.200e-01   2.500e-01  5.546e-01  5.487e-01 -141.109  2.353e-03  -16.258  8.064e-02   -0.161
    3   26   1.000e-01  -1.200e-01   2.600e-01  5.906e-01  5.880e-01 -112.243  7.625e-03  -13.446  5.524e-02    4.881
    3   27   1.000e-01  -1.200e-01   2.700e-01  5.449e-01  5.440e-01  -86.445  8.319e-03  -39.453  2.961e-02   -4.589
    3   28   1.000e-01  -1.200e-01   2.800e-01  4.289e-01  4.218e-01  -54.157  9.205e-03  -61.248  7.730e-02  -94.261
    3   29   1.000e-01  -1.200e-01   2.900e-01  4.033e-01  3.739e-01   -4.793  6.161e-03  -65.419  1.510e-01 -105.668
    3   30   1.000e-01  -1.200e-01   3.000e-01  5.682e-01  5.462e-01   29.572  4.049e-03  -63.047  1.563e-01 -114.130
    4    0   1.000e-01  -1.100e-01   0.000e+00  8.503e-02  8.246e-02 -175.241  6.886e-04   47.537  2.075e-02  -68.711
    4    1   1.000e-01  -1.100e-01   1.000e-02  1.890e-01  1.881e-01  115.641  8.178e-04   85.238  1.766e-02  -12.098
    4    2   1.000e-01  -1.100e-01   2.000e-02  2.892e-01  2.879e-01  110.573  9.031e-04  120.214  2.765e-02   31.311
    4    3   1.000e-01  -1.100e-01   3.000e-02  2.749e-01  2.723e-01  118.079  9.532e-04  157.328  3.819e-02   56.151
    4    4   1.000e-01  -1.100e-01   4.000e-02  1.644e-01  1.599e-01  148.872  1.038e-03 -163.195  3.829e-02   76.077
    4    5   1.000e-01  -1.100e-01   5.000e-02  1.812e-01  1.796e-01 -126.456  1.185e-03 -125.304  2.425e-02  110.191
    4    6   1.000e-01  -1.100e-01   6.000e-02  3.527e-01  3.517e-01  -94.443  1.347e-03  -90.183  2.647e-02 -155.247
    4    7   1.000e-01  -1.100e-01   7.000e-02  4.604e-01  4.561e-01  -79.114  1.470e-03  -56.425  6.227e-02 -119.593
    4    8   1.000e-01  -1.100e-01   8.000e-02  4.499e-01  4.402e-01  -62.685  1.560e-03  -21.845  9.303e-02 -105.929
    4    9   1.000e-01  -1.100e-01   9.000e-02  3.550e-01  3.404e-01  -35.211  1.643e-03   13.950  1.007e-01  -96.445
    4   10   1.000e-01  -1.100e-01   1.000e-01  3.009e-01  2.909e-01   12.514  1.745e-03   50.103  7.676e-02  -87.141
    4   11   1.000e-01  -1.100e-01   1.100e-01  3.571e-01  3.562e-01   53.181  1.850e-03   85.885  2.453e-02  -66.095
    4   12   1.000e-01  -1.100e-01   1.200e-01  3.966e-01  3.939e-01   76.622  1.934e-03  121.646  4.665e-02   90.443
    4   13   1.000e-01  -1.100e-01   1.300e-01  3.406e-01  3.220e-01   96.127  1.983e-03  158.379  1.108e-01  104.760
    4   14   1.000e-01  -1.100e-01   1.400e-01  2.279e-01  1.695e-01  130.976  2.020e-03 -162.901  1.523e-01  116.208
    4   15   1.000e-01  -1.100e-01   1.500e-01  2.205e-01  1.500e-01 -134.480  2.094e-03 -121.554  1.616e-01  130.688
    4   16   1.000e-01  -1.100e-01   1.600e-01  3.139e-01  2.782e-01  -93.723  2.288e-03  -78.452  1.454e-01  152.549
    4   17   1.000e-01  -1.100e-01   1.700e-01  3.470e-01  3.221e-01  -69.889  2.681e-03  -35.591  1.292e-01 -173.977
